cohort_id,province_id,weight
urban_workers,norte,0.04
urban_workers,litoral,0.20
urban_workers,capital,0.28
urban_workers,centro,0.25
urban_workers,cuyo,0.05
urban_workers,pampa,0.12
urban_workers,patagonia,0.03
urban_workers,costa,0.03
rural,norte,0.28
rural,litoral,0.24
rural,capital,0.01
rural,centro,0.06
rural,cuyo,0.06
rural,pampa,0.28
rural,patagonia,0.03
rural,costa,0.04
middle_class,norte,0.02
middle_class,litoral,0.08
middle_class,capital,0.45
middle_class,centro,0.15
middle_class,cuyo,0.10
middle_class,pampa,0.10
middle_class,patagonia,0.05
middle_class,costa,0.05
public_employees,norte,0.05
public_employees,litoral,0.10
public_employees,capital,0.45
public_employees,centro,0.15
public_employees,cuyo,0.05
public_employees,pampa,0.10
public_employees,patagonia,0.05
public_employees,costa,0.05
young_professionals,norte,0.05
young_professionals,litoral,0.10
young_professionals,capital,0.40
young_professionals,centro,0.15
young_professionals,cuyo,0.10
young_professionals,pampa,0.08
young_professionals,patagonia,0.07
young_professionals,costa,0.05
informal,norte,0.30
informal,litoral,0.08
informal,capital,0.25
informal,centro,0.05
informal,cuyo,0.02
informal,pampa,0.03
informal,patagonia,0.02
informal,costa,0.25
retirees,norte,0.10
retirees,litoral,0.14
retirees,capital,0.29
retirees,centro,0.16
retirees,cuyo,0.07
retirees,pampa,0.17
retirees,patagonia,0.03
retirees,costa,0.04
students,norte,0.08
students,litoral,0.10
students,capital,0.35
students,centro,0.15
students,cuyo,0.10
students,pampa,0.10
students,patagonia,0.05
students,costa,0.07
