cohort_id,party_id,loyalty,turnout
urban_workers,frente_federal,0.35,0.65
urban_workers,union_republicana,0.10,0.65
urban_workers,partido_social,0.45,0.65
urban_workers,movimiento_libertad,0.05,0.65
urban_workers,alianza_provincial,0.20,0.65
rural,frente_federal,0.20,0.80
rural,union_republicana,0.35,0.80
rural,partido_social,0.10,0.80
rural,movimiento_libertad,0.30,0.80
rural,alianza_provincial,0.25,0.80
middle_class,frente_federal,0.20,0.85
middle_class,union_republicana,0.40,0.85
middle_class,partido_social,0.10,0.85
middle_class,movimiento_libertad,0.35,0.85
middle_class,alianza_provincial,0.20,0.85
public_employees,frente_federal,0.40,0.80
public_employees,union_republicana,0.05,0.80
public_employees,partido_social,0.45,0.80
public_employees,movimiento_libertad,0.02,0.80
public_employees,alianza_provincial,0.15,0.80
young_professionals,frente_federal,0.20,0.60
young_professionals,union_republicana,0.30,0.60
young_professionals,partido_social,0.15,0.60
young_professionals,movimiento_libertad,0.35,0.60
young_professionals,alianza_provincial,0.15,0.60
informal,frente_federal,0.35,0.55
informal,union_republicana,0.10,0.55
informal,partido_social,0.30,0.55
informal,movimiento_libertad,0.10,0.55
informal,alianza_provincial,0.25,0.55
retirees,frente_federal,0.35,0.85
retirees,union_republicana,0.20,0.85
retirees,partido_social,0.25,0.85
retirees,movimiento_libertad,0.10,0.85
retirees,alianza_provincial,0.25,0.85
students,frente_federal,0.30,0.50
students,union_republicana,0.10,0.50
students,partido_social,0.40,0.50
students,movimiento_libertad,0.15,0.50
students,alianza_provincial,0.15,0.50
