evaluations,generation,popsize,best_scalar_this_gen,mean_scalar_this_gen,best_scalar_so_far,wall_seconds
18,1,18,17.03434513288151,21.839754672344228,17.03434513288151,49.82512164115906
36,2,18,16.54607400285641,18.920443875125176,16.54607400285641,95.80754446983337
54,3,18,17.087254502288403,22.415473397580946,16.54607400285641,142.63277125358582
72,4,18,16.89861682532948,22.652162714073814,16.54607400285641,189.42038559913635
90,5,18,16.905544952580737,19.972182367417936,16.54607400285641,235.31857347488403
108,6,18,16.852777669395625,17.90683450180303,16.54607400285641,282.20239758491516
126,7,18,16.93846364040574,22.874354114611226,16.54607400285641,328.50854206085205
144,8,18,16.961294208396303,22.22655060373818,16.54607400285641,374.79663491249084
162,9,18,16.848603409632993,18.13955946536366,16.54607400285641,420.8599708080292
180,10,18,16.9368612193799,19.785914320422233,16.54607400285641,467.38848662376404
198,11,18,16.865851751405394,21.011397472003242,16.54607400285641,513.2530529499054
216,12,18,16.60467570837354,17.37549343970869,16.54607400285641,558.7789266109467
234,13,18,16.583202188636484,17.895198630139387,16.54607400285641,606.1696267127991
252,14,18,16.61625915751945,17.407035292279392,16.54607400285641,652.1668725013733
270,15,18,16.795273910291606,17.538123523324607,16.54607400285641,698.2479150295258
288,16,18,16.677342448084946,20.19688802573738,16.54607400285641,744.4233999252319
306,17,18,16.611517714945112,20.773932778742946,16.54607400285641,790.4053854942322
