evaluations,generation,popsize,best_scalar_this_gen,mean_scalar_this_gen,best_scalar_so_far,wall_seconds
19,1,19,27.275627593560483,52.549485958179375,27.275627593560483,109.03625130653381
38,2,19,26.051378730237044,38.50662287035769,26.051378730237044,198.68677163124084
57,3,19,11.725432119766758,32.229122779563575,11.725432119766758,285.785338640213
76,4,19,11.118850390156934,29.27601955503512,11.118850390156934,373.372385263443
95,5,19,21.816108533615584,26.703491264781057,11.118850390156934,461.50996232032776
114,6,19,21.889417995806298,25.52202303667225,11.118850390156934,555.0183613300323
133,7,19,20.900777094107994,28.362796968644183,11.118850390156934,646.31556224823
152,8,19,20.43080514681932,25.5482622461644,11.118850390156934,736.0467739105225
171,9,19,19.803098684327775,25.070074616631718,11.118850390156934,823.0283718109131
190,10,19,19.181529365454512,22.82937273191726,11.118850390156934,909.2828092575073
209,11,19,18.612162578543035,21.875077107066886,11.118850390156934,996.5897195339203
228,12,19,20.478766015841682,24.42276699742281,11.118850390156934,1082.2476062774658
247,13,19,18.483482302779002,22.30878266687469,11.118850390156934,1168.3900072574615
266,14,19,18.798553552994157,21.66969695762986,11.118850390156934,1253.7217977046967
285,15,19,18.160816154734214,20.87018035893357,11.118850390156934,1343.3578133583069
304,16,19,17.471520771661513,21.055003742344308,11.118850390156934,1429.50470662117
323,17,19,18.048980730981626,21.827517015858927,11.118850390156934,1514.889107465744
342,18,19,18.569245712966744,20.472240367239394,11.118850390156934,1600.1310720443726
361,19,19,17.858236617878713,19.932198323402144,11.118850390156934,1685.6015067100525
380,20,19,17.12049932041381,20.08198782885394,11.118850390156934,1770.7397825717926
399,21,19,17.985353095527767,20.33992955947106,11.118850390156934,1855.3864817619324
418,22,19,17.48383441190686,20.19752051486494,11.118850390156934,1940.801515340805
