evaluations,generation,popsize,best_scalar_this_gen,mean_scalar_this_gen,best_scalar_so_far,wall_seconds
19,1,19,28.108912072412295,62.476814464572215,28.108912072412295,104.92708277702332
38,2,19,29.439796743283598,46.68021485260823,28.108912072412295,193.78967761993408
57,3,19,27.921748937117737,44.05263626572613,27.921748937117737,281.52168464660645
76,4,19,26.768755116775317,33.66690390892757,26.768755116775317,370.005339384079
95,5,19,22.566692014805763,31.301381858814167,22.566692014805763,456.1441354751587
114,6,19,24.860198185920567,35.85757670355969,22.566692014805763,542.8024916648865
133,7,19,24.70587569255829,29.96813585899984,22.566692014805763,630.8223853111267
152,8,19,21.437078671799416,29.921276901210717,21.437078671799416,717.0414998531342
171,9,19,21.966408917692508,26.410077894968744,21.437078671799416,803.6728057861328
190,10,19,19.310584526123844,24.936214851932125,19.310584526123844,888.134345293045
209,11,19,19.43414488029445,24.14765239534507,19.310584526123844,973.0750765800476
228,12,19,18.869220144249695,23.51673968182954,18.869220144249695,1059.4500727653503
247,13,19,17.907628930847213,20.930452209155618,17.907628930847213,1144.7269268035889
266,14,19,18.453246832932507,21.35760789091039,17.907628930847213,1229.5012562274933
285,15,19,17.77460789724728,21.169766709166417,17.77460789724728,1314.925317287445
304,16,19,17.30551634860094,20.90365054001285,17.30551634860094,1400.3136413097382
323,17,19,18.169925215421664,20.424831212805906,17.30551634860094,1485.4236133098602
342,18,19,17.591221658828953,20.3026243526108,17.30551634860094,1570.35231924057
361,19,19,17.417335858912036,20.413472319887063,17.30551634860094,1656.8506503105164
380,20,19,16.814770031909696,21.053707841695818,16.814770031909696,1742.593589067459
399,21,19,17.581765145579674,20.286304303068636,16.814770031909696,1828.0513517856598
418,22,19,17.44117953599567,20.947688443422745,16.814770031909696,1912.8471658229828
