evaluations,generation,popsize,best_scalar_this_gen,mean_scalar_this_gen,best_scalar_so_far,wall_seconds
18,1,18,20.982233578190865,49.929491201718605,20.982233578190865,13.490609884262085
36,2,18,17.9135083455937,29.505511622067882,17.9135083455937,27.42023754119873
54,3,18,17.69816772860576,25.839504069874927,17.69816772860576,41.39565300941467
72,4,18,15.11162582502969,23.650966732823633,15.11162582502969,55.23424172401428
90,5,18,14.82218902759299,21.334526807021764,14.82218902759299,69.46635246276855
108,6,18,13.735996132144189,22.21430396965902,13.735996132144189,83.50714993476868
126,7,18,14.154572806478996,17.550461838361244,13.735996132144189,97.7634425163269
144,8,18,14.621062100002067,18.991079486974126,13.735996132144189,111.71852469444275
162,9,18,13.51349679876065,18.655416651952383,13.51349679876065,125.6895763874054
180,10,18,12.865018252350342,16.276284161482664,12.865018252350342,139.76504945755005
198,11,18,13.168444851972462,15.513957293613641,12.865018252350342,153.63087058067322
216,12,18,12.621224530802625,17.2517790411893,12.621224530802625,167.40806460380554
234,13,18,13.121735767995952,17.502944328033962,12.621224530802625,181.29404997825623
252,14,18,12.612090343231518,16.72500245376188,12.612090343231518,195.16922211647034
270,15,18,13.462572581939929,16.289919686881078,12.612090343231518,208.9173264503479
288,16,18,13.071285036390918,16.151235155911504,12.612090343231518,222.6106140613556
306,17,18,13.126297904542938,16.866604226928178,12.612090343231518,236.44760274887085
324,18,18,12.981625608910262,16.2892574168913,12.612090343231518,250.53354859352112
342,19,18,13.069392794227136,15.806260066763624,12.612090343231518,264.6492443084717
360,20,18,12.787189476875733,16.07226591796285,12.612090343231518,278.3955624103546
378,21,18,13.123024087802523,16.17684598414491,12.612090343231518,292.3327941894531
396,22,18,12.972693055775194,16.862564403329536,12.612090343231518,306.13615322113037
414,23,18,12.644550756607291,15.923936066056687,12.612090343231518,320.0448327064514
