evaluations,generation,popsize,best_scalar_this_gen,mean_scalar_this_gen,best_scalar_so_far,wall_seconds
18,1,18,31.548324942595222,47.362259068263846,31.548324942595222,29.51751947402954
36,2,18,31.898353276824842,45.37865669029269,31.548324942595222,48.95858430862427
54,3,18,28.97509520263011,41.4827149329987,28.97509520263011,67.73673725128174
72,4,18,25.52694285740448,35.01677354282184,25.52694285740448,86.47305631637573
90,5,18,26.608186963926705,31.75646798858436,25.52694285740448,105.26853132247925
108,6,18,24.75178655635296,29.138423979270645,24.75178655635296,124.06370997428894
126,7,18,24.041771489584903,28.21741737718086,24.041771489584903,142.69416308403015
144,8,18,23.509851977258606,26.592685281358566,23.509851977258606,161.40713167190552
162,9,18,20.521629237533464,26.119777712866135,20.521629237533464,179.94314694404602
180,10,18,20.670934790825008,24.405770299847283,20.521629237533464,198.42538738250732
198,11,18,20.747239803532345,27.21675657381243,20.521629237533464,216.67786359786987
216,12,18,19.68334852130482,27.61291694104491,19.68334852130482,234.67343020439148
234,13,18,20.55723286179001,23.850137906037244,19.68334852130482,252.98495030403137
252,14,18,19.72910221444202,23.983483588530103,19.68334852130482,271.26248955726624
270,15,18,19.613913592247272,23.14752378875831,19.613913592247272,289.81885504722595
288,16,18,19.37477402886429,21.930237743493283,19.37477402886429,308.12866044044495
306,17,18,18.750351603208564,22.12196785565671,18.750351603208564,326.7103273868561
324,18,18,18.92456839919677,23.064442449991063,18.750351603208564,344.90985894203186
342,19,18,19.27893113013066,21.767199120341118,18.750351603208564,363.15564608573914
360,20,18,17.5491609942019,22.42344632604727,17.5491609942019,381.4608898162842
378,21,18,18.465246803284604,21.95617750138772,17.5491609942019,399.8836781978607
396,22,18,19.23069255910006,22.61305939592971,17.5491609942019,418.3199453353882
414,23,18,18.99237480116625,22.793078913880464,17.5491609942019,436.69386291503906
