evaluations,generation,popsize,best_scalar_this_gen,mean_scalar_this_gen,best_scalar_so_far,wall_seconds
18,1,18,18.077161686126377,45.0538594076086,18.077161686126377,14.850343465805054
36,2,18,16.552254406655308,26.461287613867675,16.552254406655308,29.488773107528687
54,3,18,16.197786110043772,23.33838339094958,16.197786110043772,44.11441373825073
72,4,18,14.639839786311363,21.678497643560693,14.639839786311363,58.49936604499817
90,5,18,14.717407851731355,22.233117063081835,14.639839786311363,73.12554454803467
108,6,18,13.348516164399202,21.307285800366632,13.348516164399202,87.82631945610046
126,7,18,14.245938482388082,19.01986405179267,13.348516164399202,102.42396783828735
144,8,18,13.663656007903809,16.951793489967443,13.348516164399202,116.86665487289429
162,9,18,12.987265292174872,18.565927927947325,12.987265292174872,131.69088888168335
180,10,18,13.147569815994766,15.998246072131117,12.987265292174872,146.00655221939087
198,11,18,12.777196108975046,16.4779133051751,12.777196108975046,160.57561707496643
216,12,18,13.44727329823344,17.341864080297732,12.777196108975046,174.8385512828827
234,13,18,13.976070135449548,18.100336349497034,12.777196108975046,189.3977198600769
252,14,18,13.94208552189936,16.856589799943777,12.777196108975046,203.92230248451233
270,15,18,13.986456191015305,18.391839481559558,12.777196108975046,218.56294465065002
288,16,18,14.609368420113107,18.056465817853965,12.777196108975046,232.64709091186523
306,17,18,13.773897575594066,17.634573352944223,12.777196108975046,246.72554516792297
324,18,18,13.241677773357322,19.169330433722077,12.777196108975046,260.99194049835205
342,19,18,13.262557301417463,15.888334601069841,12.777196108975046,275.127108335495
360,20,18,13.215800989828843,15.982512861345482,12.777196108975046,289.574006319046
378,21,18,13.275075395033578,15.950369232736007,12.777196108975046,303.76980924606323
396,22,18,13.278681844499122,16.7857849131571,12.777196108975046,318.11630940437317
414,23,18,13.011124894408052,15.50055790853447,12.777196108975046,332.61180901527405
