evaluations,generation,popsize,best_scalar_this_gen,mean_scalar_this_gen,best_scalar_so_far,wall_seconds
18,1,18,34.81600478308322,87.34108513673355,34.81600478308322,26.229716777801514
36,2,18,30.51115422955185,50.86906662477108,30.51115422955185,53.142189025878906
54,3,18,30.888921276829915,44.37291906418729,30.51115422955185,80.28965330123901
72,4,18,26.9587044733653,38.66449989986995,26.9587044733653,107.25215244293213
90,5,18,22.840182905641537,33.64088621029882,22.840182905641537,133.63454842567444
108,6,18,21.68804451436335,33.5098940731511,21.68804451436335,159.39936089515686
126,7,18,24.058815743849127,32.82673666723271,21.68804451436335,185.84674429893494
144,8,18,22.98501104555969,31.333161628289,21.68804451436335,212.6106357574463
162,9,18,20.14333155167029,29.804600974439495,20.14333155167029,239.8355894088745
180,10,18,20.38336962387162,26.98162071943146,20.14333155167029,265.78385519981384
198,11,18,19.153252098959978,25.526179255331613,19.153252098959978,292.79089164733887
216,12,18,21.00041089971924,26.71686502401385,19.153252098959978,319.18846702575684
234,13,18,16.86411600414374,24.348139150833767,16.86411600414374,346.32218289375305
252,14,18,18.705657173233153,24.45893210970077,16.86411600414374,372.5693531036377
270,15,18,17.487299124649972,22.46256266939649,16.86411600414374,400.2543737888336
288,16,18,20.19060055982122,24.21339749168593,16.86411600414374,427.40843296051025
306,17,18,17.00547341579268,21.037246166266655,16.86411600414374,454.81366991996765
324,18,18,17.8124487690749,23.959294694335217,16.86411600414374,481.20633482933044
342,19,18,18.125832570081712,21.62532467627941,16.86411600414374,506.97411346435547
360,20,18,18.49686175832604,23.647509966524012,16.86411600414374,533.6769287586212
378,21,18,17.548195760754336,22.529896273180515,16.86411600414374,560.6265859603882
396,22,18,17.958607511485745,22.495346653728596,16.86411600414374,587.1306250095367
414,23,18,18.283887258508006,21.024268847850827,16.86411600414374,615.5521638393402
