evaluations,generation,popsize,best_scalar_this_gen,mean_scalar_this_gen,best_scalar_so_far,wall_seconds
18,1,18,37.798704798258555,65.31919564661116,37.798704798258555,32.94554805755615
36,2,18,38.28486328481008,56.428584866395134,37.798704798258555,51.855098485946655
54,3,18,32.265212718788405,45.76250907702453,32.265212718788405,70.69509601593018
72,4,18,29.129552083226145,43.02888078641328,29.129552083226145,89.2544367313385
90,5,18,27.491396830513757,34.362129288920386,27.491396830513757,107.97234869003296
108,6,18,24.85752648018315,31.303318137298252,24.85752648018315,126.70468258857727
126,7,18,26.491550550676262,29.31023223947431,24.85752648018315,145.9985110759735
144,8,18,24.060144825128425,30.821440515990226,24.060144825128425,165.03708219528198
162,9,18,26.562463176817637,30.74601199161846,24.060144825128425,184.02264833450317
180,10,18,24.185734572485437,31.19016669080955,24.060144825128425,202.7640597820282
198,11,18,23.56226016038565,30.291946264886192,23.56226016038565,221.88057708740234
216,12,18,24.15504469915987,26.62348412218458,23.56226016038565,240.81124758720398
234,13,18,23.60624243775587,26.519381956690403,23.56226016038565,260.26523303985596
252,14,18,23.527308685682616,26.814181381551364,23.527308685682616,279.8087170124054
270,15,18,24.095740649362703,30.413694867032444,23.527308685682616,299.2244758605957
288,16,18,23.990024438609385,30.145989546129783,23.527308685682616,318.172744512558
306,17,18,23.408286146028427,26.46017198320215,23.408286146028427,337.00659441947937
324,18,18,22.758510387163632,26.462285304491502,22.758510387163632,355.9065148830414
342,19,18,23.920473094043633,27.841994446000527,22.758510387163632,374.85633754730225
360,20,18,23.764270477287212,26.981286822083636,22.758510387163632,393.9839758872986
378,21,18,22.700507131243146,28.31187425733613,22.700507131243146,413.1024100780487
396,22,18,23.415000659261878,26.968488617475924,22.700507131243146,432.81530022621155
414,23,18,23.502245416300635,28.35749856122517,22.700507131243146,452.14949798583984
