cohort_id,party_id,loyalty,turnout
urban_workers,ucr,1.4411,0.65
rural,ucr,1.4411,0.8
middle_class,ucr,1.4411,0.85
public_employees,ucr,1.4411,0.8
young_professionals,ucr,1.4411,0.6
informal,ucr,1.4411,0.55
retirees,ucr,1.4411,0.85
students,ucr,1.4411,0.5
urban_workers,pj,1.1371,0.65
rural,pj,1.1371,0.8
middle_class,pj,1.1371,0.85
public_employees,pj,1.1371,0.8
young_professionals,pj,1.1371,0.6
informal,pj,1.1371,0.55
retirees,pj,1.1371,0.85
students,pj,1.1371,0.5
urban_workers,ucede,-3.8224,0.65
rural,ucede,-3.8224,0.8
middle_class,ucede,-3.8224,0.85
public_employees,ucede,-3.8224,0.8
young_professionals,ucede,-3.8224,0.6
informal,ucede,-3.8224,0.55
retirees,ucede,-3.8224,0.85
students,ucede,-3.8224,0.5
urban_workers,frepaso,-0.4,0.65
rural,frepaso,-0.4,0.8
middle_class,frepaso,-0.4,0.85
public_employees,frepaso,-0.4,0.8
young_professionals,frepaso,-0.4,0.6
informal,frepaso,-0.4,0.55
retirees,frepaso,-0.4,0.85
students,frepaso,-0.4,0.5
urban_workers,provinciales_1983,-1.5383,0.65
rural,provinciales_1983,-1.5383,0.8
middle_class,provinciales_1983,-1.5383,0.85
public_employees,provinciales_1983,-1.5383,0.8
young_professionals,provinciales_1983,-1.5383,0.6
informal,provinciales_1983,-1.5383,0.55
retirees,provinciales_1983,-1.5383,0.85
students,provinciales_1983,-1.5383,0.5
