date,value,unit,source_id
1879-01-01,1.0398,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1880-01-01,1.0484,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1885-01-01,1.0325,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1895-01-01,1.035,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1896-01-01,1.046,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1897-01-01,1.0562,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1898-01-01,1.046,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1899-01-01,1.0442,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1900-01-01,1.05,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1901-01-01,1.0425,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1902-01-01,1.0402,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1903-01-01,1.0363,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1904-01-01,1.0356,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1905-01-01,1.035,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1915-01-01,1.0515,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1916-01-01,1.0418,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1917-01-01,1.0022,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1918-01-01,0.9837,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1919-01-01,1.0122,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1920-01-01,1.1222,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1921-01-01,1.3795,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1922-01-01,1.2115,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1923-01-01,1.2651,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1924-01-01,1.272,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1925-01-01,1.0887,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1926-01-01,1.0803,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1927-01-01,1.0362,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1928-01-01,1.0343,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1929-01-01,1.0494,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1930-01-01,1.1997,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1931-01-01,1.3924,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1932-01-01,1.7091,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1933-01-01,1.376,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1934-01-01,2.9797378,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1935-01-01,3.0646644,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1936-01-01,3.0184123,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1937-01-01,3.0376671,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1938-01-01,3.0740855,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1939-01-01,3.2404407,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1940-01-01,3.3579584,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1941-01-01,3.9635355,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1942-01-01,4.2176297,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1943-01-01,4.0518639,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1944-01-01,3.9793076,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1945-01-01,3.9793076,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1946-01-01,3.9793076,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
1947-01-01,3.9793076,"pesos moneda nacional/oro por USD, promedio anual (Clio Infra, compilacion academica; ver clio-infra.eu)",forexcenturies_clio_fx
