date,value,unit,source_id
1820-01-01,1591,"2011 US$ PPP (Maddison, per capita)",maddison2020
1850-01-01,1994,"2011 US$ PPP (Maddison, per capita)",maddison2020
1860-01-01,2160,"2011 US$ PPP (Maddison, per capita)",maddison2020
1870-01-01,2340,"2011 US$ PPP (Maddison, per capita)",maddison2020
1875-01-01,2606,"2011 US$ PPP (Maddison, per capita)",maddison2020
1876-01-01,2611,"2011 US$ PPP (Maddison, per capita)",maddison2020
1877-01-01,2820,"2011 US$ PPP (Maddison, per capita)",maddison2020
1878-01-01,2619,"2011 US$ PPP (Maddison, per capita)",maddison2020
1879-01-01,2664,"2011 US$ PPP (Maddison, per capita)",maddison2020
1880-01-01,2557,"2011 US$ PPP (Maddison, per capita)",maddison2020
1881-01-01,2541,"2011 US$ PPP (Maddison, per capita)",maddison2020
1882-01-01,3108,"2011 US$ PPP (Maddison, per capita)",maddison2020
1883-01-01,3373,"2011 US$ PPP (Maddison, per capita)",maddison2020
1884-01-01,3486,"2011 US$ PPP (Maddison, per capita)",maddison2020
1885-01-01,3904,"2011 US$ PPP (Maddison, per capita)",maddison2020
1886-01-01,3771,"2011 US$ PPP (Maddison, per capita)",maddison2020
1887-01-01,3841,"2011 US$ PPP (Maddison, per capita)",maddison2020
1888-01-01,4219,"2011 US$ PPP (Maddison, per capita)",maddison2020
1889-01-01,4288,"2011 US$ PPP (Maddison, per capita)",maddison2020
1890-01-01,3851,"2011 US$ PPP (Maddison, per capita)",maddison2020
1891-01-01,3631,"2011 US$ PPP (Maddison, per capita)",maddison2020
1892-01-01,4251,"2011 US$ PPP (Maddison, per capita)",maddison2020
1893-01-01,4409,"2011 US$ PPP (Maddison, per capita)",maddison2020
1894-01-01,4968,"2011 US$ PPP (Maddison, per capita)",maddison2020
1895-01-01,5384,"2011 US$ PPP (Maddison, per capita)",maddison2020
1896-01-01,5716,"2011 US$ PPP (Maddison, per capita)",maddison2020
1897-01-01,4500,"2011 US$ PPP (Maddison, per capita)",maddison2020
1898-01-01,4741,"2011 US$ PPP (Maddison, per capita)",maddison2020
1899-01-01,5412,"2011 US$ PPP (Maddison, per capita)",maddison2020
1900-01-01,4583,"2011 US$ PPP (Maddison, per capita)",maddison2020
1901-01-01,4591,"2011 US$ PPP (Maddison, per capita)",maddison2020
1902-01-01,4331,"2011 US$ PPP (Maddison, per capita)",maddison2020
1903-01-01,4769,"2011 US$ PPP (Maddison, per capita)",maddison2020
1904-01-01,5086,"2011 US$ PPP (Maddison, per capita)",maddison2020
1905-01-01,5545,"2011 US$ PPP (Maddison, per capita)",maddison2020
1906-01-01,5608,"2011 US$ PPP (Maddison, per capita)",maddison2020
1907-01-01,5514,"2011 US$ PPP (Maddison, per capita)",maddison2020
1908-01-01,5829,"2011 US$ PPP (Maddison, per capita)",maddison2020
1909-01-01,5896,"2011 US$ PPP (Maddison, per capita)",maddison2020
1910-01-01,6092,"2011 US$ PPP (Maddison, per capita)",maddison2020
1911-01-01,5971,"2011 US$ PPP (Maddison, per capita)",maddison2020
1912-01-01,6223,"2011 US$ PPP (Maddison, per capita)",maddison2020
1913-01-01,6052,"2011 US$ PPP (Maddison, per capita)",maddison2020
1914-01-01,5263,"2011 US$ PPP (Maddison, per capita)",maddison2020
1915-01-01,5171,"2011 US$ PPP (Maddison, per capita)",maddison2020
1916-01-01,4927,"2011 US$ PPP (Maddison, per capita)",maddison2020
1917-01-01,4447,"2011 US$ PPP (Maddison, per capita)",maddison2020
1918-01-01,5177,"2011 US$ PPP (Maddison, per capita)",maddison2020
1919-01-01,5271,"2011 US$ PPP (Maddison, per capita)",maddison2020
1920-01-01,5536,"2011 US$ PPP (Maddison, per capita)",maddison2020
1921-01-01,5533,"2011 US$ PPP (Maddison, per capita)",maddison2020
1922-01-01,5796,"2011 US$ PPP (Maddison, per capita)",maddison2020
1923-01-01,6213,"2011 US$ PPP (Maddison, per capita)",maddison2020
1924-01-01,6464,"2011 US$ PPP (Maddison, per capita)",maddison2020
1925-01-01,6247,"2011 US$ PPP (Maddison, per capita)",maddison2020
1926-01-01,6366,"2011 US$ PPP (Maddison, per capita)",maddison2020
1927-01-01,6625,"2011 US$ PPP (Maddison, per capita)",maddison2020
1928-01-01,6840,"2011 US$ PPP (Maddison, per capita)",maddison2020
1929-01-01,6961,"2011 US$ PPP (Maddison, per capita)",maddison2020
1930-01-01,6503,"2011 US$ PPP (Maddison, per capita)",maddison2020
1931-01-01,5917,"2011 US$ PPP (Maddison, per capita)",maddison2020
1932-01-01,5614,"2011 US$ PPP (Maddison, per capita)",maddison2020
1933-01-01,5772,"2011 US$ PPP (Maddison, per capita)",maddison2020
1934-01-01,6129,"2011 US$ PPP (Maddison, per capita)",maddison2020
1935-01-01,6296,"2011 US$ PPP (Maddison, per capita)",maddison2020
1936-01-01,6236,"2011 US$ PPP (Maddison, per capita)",maddison2020
1937-01-01,6575,"2011 US$ PPP (Maddison, per capita)",maddison2020
1938-01-01,6491,"2011 US$ PPP (Maddison, per capita)",maddison2020
1939-01-01,6612,"2011 US$ PPP (Maddison, per capita)",maddison2020
1940-01-01,6633,"2011 US$ PPP (Maddison, per capita)",maddison2020
1941-01-01,6861,"2011 US$ PPP (Maddison, per capita)",maddison2020
1942-01-01,6829,"2011 US$ PPP (Maddison, per capita)",maddison2020
1943-01-01,6666,"2011 US$ PPP (Maddison, per capita)",maddison2020
1944-01-01,7299,"2011 US$ PPP (Maddison, per capita)",maddison2020
1945-01-01,6943,"2011 US$ PPP (Maddison, per capita)",maddison2020
1946-01-01,7436,"2011 US$ PPP (Maddison, per capita)",maddison2020
1947-01-01,8112,"2011 US$ PPP (Maddison, per capita)",maddison2020
1948-01-01,8372,"2011 US$ PPP (Maddison, per capita)",maddison2020
1949-01-01,8045,"2011 US$ PPP (Maddison, per capita)",maddison2020
1950-01-01,7949,"2011 US$ PPP (Maddison, per capita)",maddison2020
1951-01-01,8086,"2011 US$ PPP (Maddison, per capita)",maddison2020
1952-01-01,7519,"2011 US$ PPP (Maddison, per capita)",maddison2020
1953-01-01,7769,"2011 US$ PPP (Maddison, per capita)",maddison2020
1954-01-01,7938,"2011 US$ PPP (Maddison, per capita)",maddison2020
1955-01-01,8348,"2011 US$ PPP (Maddison, per capita)",maddison2020
1956-01-01,8424,"2011 US$ PPP (Maddison, per capita)",maddison2020
1957-01-01,8705,"2011 US$ PPP (Maddison, per capita)",maddison2020
1958-01-01,9083,"2011 US$ PPP (Maddison, per capita)",maddison2020
1959-01-01,8354,"2011 US$ PPP (Maddison, per capita)",maddison2020
1960-01-01,8861,"2011 US$ PPP (Maddison, per capita)",maddison2020
1961-01-01,9344,"2011 US$ PPP (Maddison, per capita)",maddison2020
1962-01-01,9049,"2011 US$ PPP (Maddison, per capita)",maddison2020
1963-01-01,8695,"2011 US$ PPP (Maddison, per capita)",maddison2020
1964-01-01,9446,"2011 US$ PPP (Maddison, per capita)",maddison2020
1965-01-01,10155,"2011 US$ PPP (Maddison, per capita)",maddison2020
1966-01-01,10076,"2011 US$ PPP (Maddison, per capita)",maddison2020
1967-01-01,10200,"2011 US$ PPP (Maddison, per capita)",maddison2020
1968-01-01,10485,"2011 US$ PPP (Maddison, per capita)",maddison2020
1969-01-01,11217,"2011 US$ PPP (Maddison, per capita)",maddison2020
1970-01-01,11639,"2011 US$ PPP (Maddison, per capita)",maddison2020
1971-01-01,12003,"2011 US$ PPP (Maddison, per capita)",maddison2020
1972-01-01,12170,"2011 US$ PPP (Maddison, per capita)",maddison2020
1973-01-01,12691,"2011 US$ PPP (Maddison, per capita)",maddison2020
1974-01-01,13284,"2011 US$ PPP (Maddison, per capita)",maddison2020
1975-01-01,12946,"2011 US$ PPP (Maddison, per capita)",maddison2020
1976-01-01,12696,"2011 US$ PPP (Maddison, per capita)",maddison2020
1977-01-01,13236,"2011 US$ PPP (Maddison, per capita)",maddison2020
1978-01-01,12444,"2011 US$ PPP (Maddison, per capita)",maddison2020
1979-01-01,13114,"2011 US$ PPP (Maddison, per capita)",maddison2020
1980-01-01,13080,"2011 US$ PPP (Maddison, per capita)",maddison2020
1981-01-01,12125,"2011 US$ PPP (Maddison, per capita)",maddison2020
1982-01-01,11550,"2011 US$ PPP (Maddison, per capita)",maddison2020
1983-01-01,11775,"2011 US$ PPP (Maddison, per capita)",maddison2020
1984-01-01,11837,"2011 US$ PPP (Maddison, per capita)",maddison2020
1985-01-01,10895,"2011 US$ PPP (Maddison, per capita)",maddison2020
1986-01-01,11515,"2011 US$ PPP (Maddison, per capita)",maddison2020
1987-01-01,11633,"2011 US$ PPP (Maddison, per capita)",maddison2020
1988-01-01,11244,"2011 US$ PPP (Maddison, per capita)",maddison2020
1989-01-01,10393,"2011 US$ PPP (Maddison, per capita)",maddison2020
1990-01-01,10254,"2011 US$ PPP (Maddison, per capita)",maddison2020
1991-01-01,11223.9846,"2011 US$ PPP (Maddison, per capita)",maddison2020
1992-01-01,12267.0836,"2011 US$ PPP (Maddison, per capita)",maddison2020
1993-01-01,12926.7947,"2011 US$ PPP (Maddison, per capita)",maddison2020
1994-01-01,13571.3794,"2011 US$ PPP (Maddison, per capita)",maddison2020
1995-01-01,13086.0365,"2011 US$ PPP (Maddison, per capita)",maddison2020
1996-01-01,13715.2268,"2011 US$ PPP (Maddison, per capita)",maddison2020
1997-01-01,14722.6459,"2011 US$ PPP (Maddison, per capita)",maddison2020
1998-01-01,15185.9587,"2011 US$ PPP (Maddison, per capita)",maddison2020
1999-01-01,14577.8323,"2011 US$ PPP (Maddison, per capita)",maddison2020
2000-01-01,14368.9427,"2011 US$ PPP (Maddison, per capita)",maddison2020
2001-01-01,13651.981,"2011 US$ PPP (Maddison, per capita)",maddison2020
2002-01-01,12094.7728,"2011 US$ PPP (Maddison, per capita)",maddison2020
2003-01-01,13088.565,"2011 US$ PPP (Maddison, per capita)",maddison2020
2004-01-01,14183.2251,"2011 US$ PPP (Maddison, per capita)",maddison2020
2005-01-01,15344.1571,"2011 US$ PPP (Maddison, per capita)",maddison2020
2006-01-01,16490.4736,"2011 US$ PPP (Maddison, per capita)",maddison2020
2007-01-01,17891.9434,"2011 US$ PPP (Maddison, per capita)",maddison2020
2008-01-01,18520.3041,"2011 US$ PPP (Maddison, per capita)",maddison2020
2009-01-01,17328.9758,"2011 US$ PPP (Maddison, per capita)",maddison2020
2010-01-01,18979.9917,"2011 US$ PPP (Maddison, per capita)",maddison2020
2011-01-01,20003,"2011 US$ PPP (Maddison, per capita)",maddison2020
2012-01-01,19599,"2011 US$ PPP (Maddison, per capita)",maddison2020
2013-01-01,19873,"2011 US$ PPP (Maddison, per capita)",maddison2020
2014-01-01,19183,"2011 US$ PPP (Maddison, per capita)",maddison2020
2015-01-01,19502,"2011 US$ PPP (Maddison, per capita)",maddison2020
2016-01-01,18875,"2011 US$ PPP (Maddison, per capita)",maddison2020
2017-01-01,19200.9061,"2011 US$ PPP (Maddison, per capita)",maddison2020
2018-01-01,18556.3831,"2011 US$ PPP (Maddison, per capita)",maddison2020
