date,value,unit,source_id
1988-05-01,29.8,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1988-10-01,32.3,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1989-05-01,25.9,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1989-10-01,47.3,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1990-05-01,42.5,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1990-10-01,33.7,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1991-05-01,28.9,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1991-10-01,21.5,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1992-05-01,19.3,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1992-10-01,17.8,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1993-05-01,17.7,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1993-10-01,16.8,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1994-05-01,16.1,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1994-10-01,19,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1995-05-01,22.2,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1995-10-01,24.8,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1996-05-01,26.7,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1996-10-01,27.9,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1997-05-01,26.3,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1997-10-01,26,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1998-05-01,24.3,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1998-10-01,25.9,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1999-05-01,27.1,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
1999-10-01,26.7,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
2000-05-01,29.7,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
2000-10-01,28.9,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
2001-05-01,32.7,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
2001-10-01,35.4,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
2002-05-01,49.7,"% de personas bajo la linea de pobreza, Gran Buenos Aires, EPH puntual onda mayo/octubre (INDEC, via CEDLAS ISA / argendatafundar)",argendata_cedlas_isa_pobreza_gba
