date,v2x_polyarchy,v2x_libdem,v2x_regime,v2x_regime_amb,v2xel_frefair,v2x_corr,v2x_freexp_altinf,v2x_cspart,v2cademmob,v2caautmob,v2x_civlib,v2x_rule,v2xnp_pres,e_boix_regime,e_p_polity,e_gdppc,e_miinflat,e_total_fuel_income_pc,e_pop,e_pt_coup,v2x_execorr,v2elturnhog,v2eltype_0,v2eltype_1,v2eltype_2,v2eltype_3,v2eltype_4,v2eltype_5,v2eltype_6,v2elvotsml,v2ellovtsm,source_id
1789-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,,-5.868,,,,0.447,,,,,,,,,,,vdem
1790-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,,0.443,,,,0.447,,,,,,,,,,,vdem
1791-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,,-3.915,,,,0.447,,,,,,,,,,,vdem
1792-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,,-16.971,,,,0.447,,,,,,,,,,,vdem
1793-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,,-8.726,,,,0.447,,,,,,,,,,,vdem
1794-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,,15.386,,,,0.447,,,,,,,,,,,vdem
1795-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,,12.623,,,,0.447,,,,,,,,,,,vdem
1796-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,,10.825,,,,0.447,,,,,,,,,,,vdem
1797-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,,6.889,,,,0.447,,,,,,,,,,,vdem
1798-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,,-9.11,,,,0.447,,,,,,,,,,,vdem
1799-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,,4.388,,,,0.447,,,,,,,,,,,vdem
1800-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,3.902,-5.967,,64.581,,0.447,,,,,,,,,,,vdem
1801-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,3.93,18.797,,64.464,,0.447,,,,,,,,,,,vdem
1802-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,3.953,-2.461,,64.211,,0.447,,,,,,,,,,,vdem
1803-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,3.97,22.593,,63.97,,0.447,,,,,,,,,,,vdem
1804-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,3.974,-2.573,,63.761,,0.447,,,,,,,,,,,vdem
1805-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,3.99,8.739,,63.524,,0.447,,,,,,,,,,,vdem
1806-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,3.997,-0.03,,63.422,,0.447,,,,,,,,,,,vdem
1807-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,4.005,-9.324,,63.182,,0.447,,,,,,,,,,,vdem
1808-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,4.022,-3.488,,62.961,,0.447,,,,,,,,,,,vdem
1809-01-01,0.082,0.066,,,0.0,0.324,0.257,0.145,,,0.283,0.499,0.62,,,4.037,9.89,,62.787,,0.447,,,,,,,,,,,vdem
1810-01-01,0.089,0.067,,,0.0,0.324,0.314,0.205,,,0.301,0.499,0.62,,,4.062,-9.689,,62.543,,0.447,,,,,,,,,,,vdem
1811-01-01,0.101,0.077,,,0.0,0.317,0.367,0.205,,,0.39,0.507,0.653,,,4.082,8.032,,62.424,,0.428,,,,,,,,,,,vdem
1812-01-01,0.101,0.077,,,0.0,0.317,0.367,0.205,,,0.39,0.507,0.653,,,4.1,4.957,,62.23,,0.428,,,,,,,,,,,vdem
1813-01-01,0.101,0.077,,,0.0,0.317,0.367,0.205,,,0.39,0.507,0.653,,,4.114,19.971,,62.051,,0.428,,,,,,,,,,,vdem
1814-01-01,0.101,0.077,,,0.0,0.317,0.367,0.205,,,0.39,0.507,0.653,,,4.124,34.986,,61.849,,0.428,,,,,,,,,,,vdem
1815-01-01,0.101,0.077,,,0.0,0.317,0.367,0.205,,,0.39,0.507,0.653,,,4.135,50.0,,61.619,,0.428,,,,,,,,,,,vdem
1816-01-01,0.132,0.082,,,0.0,0.317,0.367,0.205,,,0.39,0.507,0.653,,,4.157,10.0,,61.38,,0.428,,,,,,,,,,,vdem
1817-01-01,0.132,0.082,,,0.0,0.317,0.367,0.205,,,0.39,0.507,0.653,,,4.177,8.687,,61.223,,0.428,,,,,,,,,,,vdem
1818-01-01,0.132,0.082,,,0.0,0.317,0.367,0.205,,,0.39,0.507,0.653,,,4.188,7.374,,60.981,,0.428,,,,,,,,,,,vdem
1819-01-01,0.132,0.082,,,0.0,0.317,0.367,0.205,,,0.39,0.507,0.653,,,4.204,6.061,,60.705,,0.428,,,,,,,,,,,vdem
1820-01-01,0.136,0.088,,,0.0,0.317,0.35,0.205,,,0.393,0.513,0.703,,,4.214,6.459,,60.447,,0.428,,,,,,,,,,,vdem
1821-01-01,0.136,0.088,,,0.0,0.317,0.35,0.205,,,0.393,0.513,0.671,,,4.244,6.857,,61.861,,0.428,,,,,,,,,,,vdem
1822-01-01,0.136,0.088,,,0.0,0.317,0.35,0.205,,,0.393,0.513,0.671,,,4.284,-6.417,,63.277,,0.428,,,,,,,,,,,vdem
1823-01-01,0.136,0.088,,,0.0,0.317,0.35,0.205,,,0.393,0.513,0.671,,,4.327,14.286,,64.793,,0.428,,,,,,,,,,,vdem
1824-01-01,0.136,0.088,,,0.0,0.317,0.35,0.205,,,0.393,0.513,0.695,,,4.364,10.635,,66.24,,0.428,,,,,,,,,,,vdem
1825-01-01,0.136,0.088,,,0.0,0.317,0.35,0.205,,,0.393,0.513,0.695,0.0,-5.0,4.408,6.984,,67.922,,0.428,,,,,,,,,,,vdem
