month,date,congress_support,consumer_confidence,crime_perception,exchange_rate,fiscal_balance,gdp,gdp_growth,government_approval,inequality,inflation,inflation_lag1,institutional_confidence,interest_rate,political_stability,poverty,protest_level,public_debt,real_wage,reserves,social_tension,unemployment,regime_mode,shocks_active,events
1,2019-12,55.14977926889485,35.032106901859116,47.14471037380404,102.72334513092683,-7.013195081793696,99.94574153524236,-1.1132362394259654,47.53409593547227,42.60039106077366,3.8829153005970305,3.74370735513833,60.52159496996657,57.05444771376372,86.88567577539536,31.767512086544468,0.22990943687504029,72.35740134768932,100.11909686961525,45494.73286709547,45.86907210807655,10.401897351771453,democracy,,
2,2020-01,52.80926586471393,24.865298490000804,45.00184743994664,105.52085634887509,-7.86009545661649,99.78614738582843,-1.3490943915369507,39.824695574286096,43.21310431994046,4.10365325030534,3.8829153005970305,57.66786561105737,50.92448826165996,85.19471099696914,29.18998867187069,18.624871986744235,72.62857262944169,99.46553498143776,46960.10120181551,54.058149950092016,10.427514246741204,democracy,,agreement_honored:gov_caba:restore_transfers
3,2020-02,51.45067338139038,21.438574552694753,43.47481818900359,108.39455345236446,-4.793557224620848,100.07950002394935,0.1312476521684679,36.64069797378175,43.83894499853403,4.362538196291593,4.10365325030534,54.679231816767484,52.594983607164366,83.3833933258433,27.45013438444696,14.752849149535795,72.2192600284361,98.88554025751992,47939.64080100359,61.291366388868816,10.350413917777818,democracy,,
4,2020-03,41.580312924935775,14.040618222721978,42.48198616912356,111.34651124599931,-12.054157465843616,99.5133069260445,-1.8826096842953433,26.728630405723987,44.46088427295266,4.253373847905585,4.362538196291593,52.33098623940526,55.24383900366408,81.37901415982638,26.423526716245505,17.264422883366286,73.07986108967843,98.27763582582209,49233.94502907358,67.09733184289561,10.968516098742864,democracy,epidemic,agreement_honored:gov_caba:restore_transfers|agreement_honored:gov_mendoza:restore_transfers
5,2020-04,49.66945422094308,6.742831707681263,41.89480122134519,114.37886103847411,-13.017691973411479,99.08802132299516,-2.820690059396335,19.425587248937866,45.08995940764887,4.580063343647005,4.253373847905585,49.28339708073954,58.350458355499114,79.13569125247665,25.85671205576082,22.79496954634754,73.79854336757845,97.63205483996978,50554.349795811584,71.98093148595059,11.043629081101766,democracy,epidemic,
6,2020-05,48.22107318421514,6.787918831992754,41.628947042016584,117.49379218137496,-2.436110303634884,99.50784592855055,-0.4131540745541378,14.27944673006164,45.74278197496209,5.078552387770088,4.580063343647005,36.16349221232319,57.04048617486701,76.86904502353472,25.625023664347857,29.45537427047814,72.81982225324766,96.74602454364114,51126.714767519225,76.2697032736716,10.925531329685928,democracy,sovereign_default,
7,2020-06,45.752407520576696,7.03441063520484,41.628381119884935,120.69355364988772,-4.440416177906064,99.54508495998496,-0.15420664697525494,7.366596592852299,46.39101764455802,4.85702079706889,5.078552387770088,34.06021730444212,60.96076012376406,74.51685053667077,25.628205021958873,36.37328077605774,72.3857360050225,96.24339004640697,51890.78417350516,80.17047172414499,10.896730274086943,democracy,sovereign_default,agreement_broken:gov_mendoza:restore_transfers:government
8,2020-07,44.30845240190001,7.336247632464381,41.828835408946155,123.98045566655449,-4.472924138196355,99.57592662396699,0.0037829988070918336,3.6963161424595796,47.04041618737373,4.880857558888751,4.85702079706889,32.02585039880742,66.94262865324106,72.10359794746049,25.769479249680778,43.13522233869571,71.95518706879894,96.19485352127553,53262.22698206522,83.62395498394685,10.869930709326724,democracy,sovereign_default,agreement_broken:gov_caba:restore_transfers:government
9,2020-08,47.7967311116974,7.1958395888216025,42.18399851523824,127.3568713692505,-4.846336925199472,99.55749794094038,-0.06390992581954896,1.4096484547996222,47.691771215342726,4.883101722450089,4.880857558888751,30.07228549403352,64.28424956482668,69.65840918094247,26.032391303500408,49.43904830568043,71.59533689803361,95.91404636819047,53922.43348912767,86.72824085142939,10.85479507019192,democracy,sovereign_default,agreement_broken:gov_caba:restore_transfers:government
10,2020-09,46.359878580979164,3.432916009441556,42.66445124806327,130.82523852458573,-8.220724349458683,99.11254783392802,-1.614710836233841,0.0,48.34456647683126,4.847529862294799,4.883101722450089,28.222760461809962,64.57029070666502,67.21385117536474,26.406893982777664,75.23114487773182,71.83996809687967,95.51783189981546,54241.174728118145,89.55772314711967,10.936488534653591,democracy,sovereign_default,agreement_broken:biz_agro:tax_exemption:government|agreement_broken:gov_caba:restore_transfers:government
