month,date,congress_support,consumer_confidence,crime_perception,exchange_rate,fiscal_balance,gdp,gdp_growth,government_approval,inequality,inflation,inflation_lag1,institutional_confidence,interest_rate,political_stability,poverty,protest_level,public_debt,real_wage,reserves,social_tension,unemployment,regime_mode,shocks_active,events
1,2003-06,34.5172173573928,47.683154516933115,67.36055740875726,99.36475695827791,-13.116502775008614,100.2575670659535,6.6921861533154665,46.25029809523158,42.23487206149302,-0.14373968910516444,-0.08567256689913094,62.81905307301582,1.3976584578095643,91.56645733359798,53.33085515334202,23.865335042829187,157.09061546258152,99.2447413580178,12732.828782306435,47.13593758028118,15.816140332371072,democracy,,
2,2003-07,34.75407823271849,45.85454262633591,80.88606847050362,109.08214337263111,-3.9350332439035656,101.61086662962002,9.921388814542809,46.48117900823783,42.470557272721,0.5586352752738644,-0.14373968910516444,52.23162272720108,4.971929197210429,93.67206389457439,52.71557109823124,24.822295950881518,162.5406543383357,99.04134480807019,10846.00849863544,55.83595181197309,15.04036700692457,democracy,sovereign_default,
3,2003-08,30.25791219191897,44.3643064554432,91.41416010242011,109.47559904396147,-7.0260519638422405,101.95501587198694,8.18723981147788,38.22483730483522,42.711495920950384,0.3612282072230939,0.5586352752738644,52.37971021444527,4.275123730738027,94.89671410452318,52.18552613230636,27.8025755958869,162.57521231798194,98.41350230854765,11698.753462314064,62.36390378987697,14.714878450002855,democracy,sovereign_default,agreement_broken:gov_cordoba:restore_transfers:government
4,2003-09,32.72922896912649,42.79688045530844,99.54648301551357,109.58116313689837,-7.423830502296367,102.14528090896228,6.409826392460711,30.937257735610935,42.94346519052339,0.37257298165831754,0.3612282072230939,52.53466437208652,12.703623303286372,95.30222948956802,51.70058599257414,51.28809136690518,162.66600002629883,99.36740966801261,12463.557367473042,66.8948224405951,14.464521648942574,democracy,sovereign_default,agreement_broken:biz_agro:tax_exemption:government
5,2003-10,31.28441855278746,41.555728135160145,100.0,109.70241161649675,-6.035100587917103,102.79537104843317,6.859977171367586,25.77985315212071,43.16942450003513,0.4860613499647809,0.37257298165831754,52.68850214537996,10.334738486677127,95.30348330113216,51.25236862066516,36.512558979587986,161.82832322079506,99.96824432479276,13240.608188038099,70.90502219738009,14.034971972340188,democracy,sovereign_default,
6,2003-11,29.741395115082263,40.45744878456674,100.0,109.94218911935398,-6.430910078807193,103.27628905590633,6.530228649072384,19.291565304475274,43.38997582202049,0.4926763417545179,0.4860613499647809,52.83742791543133,10.47087577989981,94.79516526116484,50.84278426324986,36.537843268139305,161.38534438695993,100.51515112753509,14068.05346749602,72.74447079389967,13.691152849743393,democracy,sovereign_default,agreement_broken:biz_agro:tax_exemption:government|agreement_broken:gov_cordoba:restore_transfers:government
7,2003-12,25.219940833069337,39.32249821862202,100.0,110.16704205273055,-7.15129321651663,103.48382225147142,5.302627464150719,12.010073762301177,43.60348331556266,0.4431042835631366,0.4926763417545179,52.976769481484965,11.83273619957737,93.77761182244774,50.47009432103658,37.91555651653813,161.46446178716243,101.26084362594766,14563.539800620629,73.78888611208313,13.471120666185419,democracy,drought|sovereign_default,agreement_broken:biz_agro:tax_exemption:actor|agreement_broken:biz_agro:tax_exemption:actor|agreement_broken:gov_cordoba:restore_transfers:actor|agreement_broken:gov_cordoba:restore_transfers:actor
8,2004-01,23.814128218222898,38.31625848791793,100.0,110.28749907855716,-6.698160961927617,103.8356518520798,4.958933832880047,6.676545928339191,43.80926393027281,0.46747376109612104,0.4431042835631366,53.10200737462999,11.912116101054215,92.32209085294575,50.12507045455841,39.2993320791649,161.18455762299146,102.07460219003146,15890.62090239521,74.2866950943861,13.200762040263124,democracy,commodity_boom|drought|sovereign_default,
9,2004-02,24.982956455576932,37.34909905667304,100.0,110.46073185158416,-7.0151560883868,104.0581623409874,4.2518589432907135,2.4393605921294084,44.00864667278338,0.43098797384588106,0.46747376109612104,52.71531410909135,11.31725140275764,90.62460886179989,49.81087869077423,40.26103918143926,161.20299624397845,102.7506867162033,16944.722586689266,74.44889169198693,12.992548562077,democracy,commodity_boom|sovereign_default,
10,2004-03,26.191308746829513,36.68703521107219,100.0,110.60054426158408,-5.9962006931894125,104.62242389211862,4.98770809975364,1.0456834048901502,44.20021843623796,0.5230232967294369,0.43098797384588106,52.32491001039642,11.609685133153452,88.98069316302507,49.51262164503209,40.87338829205239,160.50900118986763,103.56383569765055,18369.70601787043,74.26968164162469,12.654596080431292,democracy,commodity_boom|sovereign_default,
