group,level,seed,medium_of_exchange,emergence_turn,herfindahl_intermediates,indirect_trade_share,mean_deprivation,inventory_gini
main,,0,conchas,74,0.24048739673774605,0.09763259012601855,5.34147,0.2442650313228521
main,,1,conchas,64,0.24350924867321105,0.10862055214852687,5.33738,0.24687841497342408
main,,10,conchas,65,0.24284506984301696,0.10820057863839902,5.3493949999999995,0.24350374406147993
main,,11,conchas,64,0.24427015344324282,0.11320600784838422,5.3334,0.2430942662515827
main,,12,conchas,64,0.2614928338093816,0.110497763773528,5.35705,0.2459983575439495
main,,13,conchas,66,0.23325281434072642,0.11098012114313589,5.342695,0.24273368415927898
main,,14,conchas,60,0.253248409114443,0.11422653871225937,5.331925,0.24323046225301115
main,,15,conchas,64,0.2377073390609622,0.10274951198238984,5.3404300000000005,0.2414330006483355
main,,16,conchas,64,0.234088667926201,0.10362602347436776,5.341395,0.24496476541846982
main,,17,conchas,64,0.23560634216910428,0.1083167861190888,5.326565,0.24344141089366172
main,,18,conchas,77,0.23882809581861816,0.10624882702221371,5.347395000000001,0.2437360063055418
main,,19,conchas,65,0.2416984451133583,0.11458158410299468,5.346245,0.24676920928334464
main,,2,conchas,64,0.2412374899945496,0.11043047976686421,5.367954999999999,0.2428249987637755
main,,20,conchas,65,0.2419982960117566,0.1192357198461574,5.350485,0.24278268939487774
main,,21,conchas,65,0.23828664772431665,0.1117298935376902,5.36167,0.24226043657107774
main,,22,conchas,65,0.24545357080121064,0.10041267711573255,5.34163,0.24076962280214592
main,,23,conchas,69,0.24549824455973246,0.10256379378861044,5.352659999999999,0.24085934990629668
main,,24,conchas,64,0.2469913611044622,0.10358946979342068,5.343484999999999,0.24357332435089862
main,,25,conchas,64,0.23520676252594108,0.11059603689677389,5.351265,0.24320403067646343
main,,26,conchas,65,0.24331397005032984,0.11165136909553532,5.330135,0.24482311007425245
main,,27,conchas,65,0.2392646978110462,0.09290047548778488,5.33556,0.24363918958238157
main,,28,conchas,64,0.2499826931372208,0.09868229116016726,5.33614,0.24619328534648813
main,,29,conchas,66,0.2362432420317254,0.10616438356164383,5.34062,0.243823338902879
main,,3,conchas,73,0.23423384817128975,0.10282478193227403,5.3415300000000006,0.2405820688211082
main,,30,conchas,65,0.23558944451585484,0.1160511856447826,5.338769999999999,0.24607761286876023
main,,31,conchas,65,0.23339347637068283,0.10841089698413084,5.334890000000001,0.2445698516910079
main,,32,conchas,77,0.2408669630759154,0.10563005534269902,5.340109999999999,0.24335213412691384
main,,33,conchas,64,0.24293073825910488,0.1046451215030645,5.32578,0.24265114336350965
main,,34,conchas,73,0.236981787934848,0.11124216982681995,5.330085,0.24600393252142483
main,,35,conchas,80,0.23756996075378586,0.11066407449094444,5.328355,0.24445871806019429
main,,36,conchas,64,0.23869641179064904,0.11664767818912523,5.320449999999999,0.24719534034553592
main,,37,conchas,69,0.23402649745482187,0.1122567710994929,5.36422,0.24230194919899536
main,,38,conchas,52,0.23235738575344125,0.10951762133391435,5.35304,0.24240112082305362
main,,39,conchas,52,0.23303510737206767,0.11938699283919503,5.37293,0.24220195866478608
main,,4,conchas,85,0.24606713300858307,0.11294807683320092,5.360214999999999,0.24422642269315073
main,,40,conchas,65,0.24440658822754155,0.1065720369056068,5.350715,0.24312057109955623
main,,41,conchas,64,0.244718442813828,0.10479262948122164,5.315865,0.24571689271078562
main,,42,conchas,71,0.249974957578631,0.10258037225042302,5.352275,0.24323324930107937
main,,43,conchas,53,0.2415923534424098,0.12098335571308122,5.360665,0.2443064093598394
main,,44,conchas,65,0.2473335979550589,0.11118157100699626,5.339465000000001,0.24486095520527748
main,,45,conchas,64,0.25068511491711315,0.1100711087062738,5.3361,0.24313321429221968
main,,46,conchas,77,0.2505013242204106,0.10251296687724158,5.352495,0.24275545431720194
main,,47,conchas,57,0.24071299389958134,0.11652561068549196,5.35,0.24404601020395678
main,,48,conchas,51,0.24099240320383336,0.11359825522085293,5.3542,0.24270439669942448
main,,49,conchas,61,0.2460365918954364,0.10269348566568393,5.3450549999999994,0.24252089686131675
main,,5,conchas,72,0.24345973487158956,0.102199422373922,5.34804,0.2432995944462123
main,,50,conchas,58,0.23023610380920037,0.11505778243054249,5.33046,0.24407462975242133
main,,51,conchas,64,0.24091968953589127,0.11433316035288013,5.3251,0.24467519612270444
